Date,Unique visitors,Visits,Users,Actions,Maximum actions in one visit,Bounces,Total time spent by visitors (in seconds),Returning Visits,Actions by Returning Visits,Unique returning visitors,Returning Users,Maximum actions in one returning visit,Bounce Rate for Returning Visits,Avg. Actions per Returning Visit,Avg. Duration of a Returning Visit (in sec),Conversions,Visits with Conversions,Revenue,Conversion Rate,Pageviews,Unique Pageviews,Downloads,Unique Downloads,Outlinks,Unique Outlinks,Searches,Unique Keywords,nb_hits_with_time_generation,Avg. generation time,Bounce Rate,Actions per Visit,Avg. Visit Duration (in seconds)
11/30/15,3333,3573,0,16335,1271,1847,784690,1031,5922,877,0,1271,44%,5.7,0:06:13,0,0,0,0%,13748,5781,1629,1255,692,555,266,161,11798,0.93s,52%,4.6,0:03:40
12/1/15,4208,4438,0,20859,1186,2417,850025,1144,7544,1011,0,1186,49%,6.6,0:04:58,0,0,0,0%,17999,6767,1904,1488,760,592,196,141,15977,1.24s,54%,4.7,0:03:12
12/2/15,3747,3992,0,17793,1328,2174,790650,1103,5483,951,0,333,46%,5,0:05:01,0,0,0,0%,15189,6330,1758,1352,636,527,210,151,13543,1.2s,54%,4.5,0:03:18
12/3/15,3308,3553,0,14516,1258,1803,765743,1070,5924,922,0,1258,47%,5.5,0:05:59,0,0,0,0%,11965,5665,1583,1211,749,584,219,153,10831,0.97s,51%,4.1,0:03:36
12/4/15,2909,3152,0,12559,908,1632,652683,942,4906,784,0,908,46%,5.2,0:05:22,0,0,0,0%,10509,4869,1263,962,565,473,222,156,9401,1.31s,52%,4,0:03:27
12/5/15,1757,1879,0,6858,220,1033,299054,511,1609,435,0,111,57%,3.1,0:03:32,0,0,0,0%,5564,2465,889,621,327,267,78,61,4716,2s,55%,3.6,0:02:39
12/6/15,1817,1941,0,6863,213,1073,313264,497,1515,432,0,109,57%,3,0:03:38,0,0,0,0%,5541,2554,865,649,354,299,103,70,4967,1.14s,55%,3.5,0:02:41
12/7/15,2797,2968,0,13059,598,1525,574469,899,5154,788,0,598,47%,5.7,0:05:05,0,0,0,0%,11093,4665,1218,940,596,510,152,105,9864,1.54s,51%,4.4,0:03:14
12/8/15,3517,3789,0,17720,1151,1880,828348,1165,6080,1004,0,392,42%,5.2,0:04:52,0,0,0,0%,15176,6176,1643,1285,665,555,236,170,13801,1.64s,50%,4.7,0:03:39
12/9/15,3251,3502,0,15384,1014,1798,727231,1069,4952,911,0,425,46%,4.6,0:04:49,0,0,0,0%,13126,5462,1439,1114,613,503,206,149,11873,1.08s,51%,4.4,0:03:28
12/10/15,3246,3449,0,15435,1115,1778,785753,1047,4729,923,0,340,45%,4.5,0:05:33,0,0,0,0%,12940,5408,1606,1185,662,529,227,147,11371,1s,52%,4.5,0:03:48
12/11/15,2851,3040,0,14009,939,1602,672813,912,5233,793,0,939,47%,5.7,0:06:21,0,0,0,0%,11982,4686,1274,965,549,451,204,114,10957,2.05s,53%,4.6,0:03:41
12/12/15,1851,1985,0,7340,227,1149,322393,534,2302,463,0,227,57%,4.3,0:03:31,0,0,0,0%,6131,2644,854,619,311,251,44,38,5509,2.33s,58%,3.7,0:02:42
12/13/15,2034,2146,0,13299,436,1187,324540,491,3470,429,0,436,54%,7.1,0:03:05,0,0,0,0%,11836,2859,1006,772,368,307,89,62,10031,1.98s,55%,6.2,0:02:31
12/14/15,3785,4062,0,18361,1151,2113,804606,1148,6582,979,0,1151,44%,5.7,0:05:14,0,0,0,0%,15745,6149,1497,1209,834,670,285,176,13937,1.07s,52%,4.5,0:03:18
