Date,Unique visitors,Visits,Users,Actions,Maximum actions in one visit,Bounces,Total time spent by visitors (in seconds),Returning Visits,Actions by Returning Visits,Unique returning visitors,Returning Users,Maximum actions in one returning visit,Bounce Rate for Returning Visits,Avg. Actions per Returning Visit,Avg. Duration of a Returning Visit (in sec),Conversions,Visits with Conversions,Revenue,Conversion Rate,Pageviews,Unique Pageviews,Downloads,Unique Downloads,Outlinks,Unique Outlinks,Searches,Unique Keywords,nb_hits_with_time_generation,Avg. generation time,Bounce Rate,Actions per Visit,Avg. Visit Duration (in seconds)
2/29/16,4235,4567,0,17689,2755,2200,916084,1365,5490,1182,0,1361,44%,4,0:03:53,0,0,0,0%,11776,7720,4601,2550,991,787,321,240,10760,0.6s,48%,3.9,0:03:21
3/1/16,3835,4160,0,14988,1450,2024,899316,1357,6347,1154,0,1450,45%,4.7,0:04:54,0,0,0,0%,10990,7023,2734,1788,933,783,331,225,9958,0.58s,49%,3.6,0:03:36
3/2/16,4891,5238,0,16474,1320,2711,993641,1539,5697,1341,0,400,44%,3.7,0:04:19,0,0,0,0%,13092,8602,1981,1568,1087,881,314,199,12079,0.61s,52%,3.1,0:03:10
3/3/16,4586,4877,0,16539,1754,2459,1137736,1398,6796,1226,0,1754,43%,4.9,0:05:15,0,0,0,0%,12126,7712,3106,2620,976,768,331,205,11113,0.64s,50%,3.4,0:03:53
3/4/16,3902,4205,0,13161,1120,2110,850712,1278,5476,1092,0,1120,44%,4.3,0:05:09,0,0,0,0%,10254,6695,1845,1491,828,675,234,156,9329,0.62s,50%,3.1,0:03:22
3/5/16,2677,2854,0,9380,1948,1548,431036,703,1966,605,0,108,52%,2.8,0:02:40,0,0,0,0%,5643,4116,3076,2010,552,437,109,72,5140,0.8s,54%,3.3,0:02:31
3/6/16,2669,2842,0,7536,55,1576,444397,716,1762,629,0,34,57%,2.5,0:02:28,0,0,0,0%,5582,4117,1298,1021,530,453,126,93,5030,0.74s,55%,2.7,0:02:36
3/7/16,4353,4738,0,15340,1364,2410,969915,1483,4851,1247,0,148,44%,3.3,0:03:46,0,0,0,0%,12099,7824,1959,1540,960,794,322,213,11029,0.65s,51%,3.2,0:03:25
3/8/16,4431,4798,0,15615,1260,2391,1006359,1496,5310,1268,0,314,43%,3.5,0:04:19,0,0,0,0%,12213,8025,2125,1652,921,788,356,213,11178,0.66s,50%,3.3,0:03:30
3/9/16,4358,4723,0,15284,1192,2373,1008493,1513,6256,1290,0,1192,45%,4.1,0:04:27,0,0,0,0%,11875,7812,2199,1734,925,759,285,187,10868,0.63s,50%,3.2,0:03:34
3/10/16,4264,4583,0,16173,1936,2338,933298,1396,6084,1206,0,1295,45%,4.4,0:04:58,0,0,0,0%,10977,7066,4021,2814,911,735,264,178,10118,0.68s,51%,3.5,0:03:24
3/11/16,3999,4295,0,12935,1171,2357,813217,1300,5568,1119,0,1171,48%,4.3,0:04:47,0,0,0,0%,10189,6674,1698,1373,764,639,284,180,9254,0.66s,55%,3,0:03:09
3/12/16,3135,3412,0,7751,43,2046,440332,918,2027,771,0,18,59%,2.2,0:02:16,0,0,0,0%,5888,4419,1279,1022,486,399,98,67,5263,0.89s,60%,2.3,0:02:09
3/13/16,2916,3098,0,7506,117,1764,443835,719,1754,619,0,44,53%,2.4,0:02:40,0,0,0,0%,5458,4074,1498,1186,491,430,59,47,4803,0.76s,57%,2.4,0:02:23
3/14/16,4540,4888,0,15363,1122,2564,946043,1459,5000,1248,0,302,45%,3.4,0:04:01,0,0,0,0%,11604,7703,2512,1822,909,740,338,231,10494,0.66s,52%,3.1,0:03:14
3/15/16,4465,4798,0,17421,1888,2421,920549,1386,6204,1193,0,851,45%,4.5,0:04:40,0,0,0,0%,11591,7654,4612,3399,940,810,278,185,10548,0.63s,50%,3.6,0:03:12
3/16/16,5032,5393,0,15851,1295,2759,976927,1479,4917,1279,0,358,42%,3.3,0:04:12,0,0,0,0%,12098,8174,2339,1884,1121,939,293,188,11019,0.66s,51%,2.9,0:03:01
3/17/16,4724,5088,0,12953,878,2865,746410,1293,4519,1119,0,878,51%,3.5,0:03:51,0,0,0,0%,9574,6693,2181,1746,986,802,212,120,8734,0.73s,56%,2.5,0:02:27
3/18/16,3733,4032,0,11837,985,2123,850213,1217,4609,1045,0,985,50%,3.8,0:04:21,0,0,0,0%,8892,5850,2045,1695,667,557,233,131,8196,0.7s,53%,2.9,0:03:31
3/19/16,2788,2970,0,7262,53,1724,471545,775,1913,692,0,34,58%,2.5,0:02:51,0,0,0,0%,5379,3883,1396,1123,399,350,88,62,4821,0.85s,58%,2.4,0:02:39
3/20/16,2709,2866,0,9458,1950,1586,436054,702,1863,627,0,48,55%,2.7,0:02:53,0,0,0,0%,5637,4065,3255,2209,454,394,112,79,5080,0.74s,55%,3.3,0:02:32
3/21/16,4143,4484,0,14165,1062,2284,917260,1434,5961,1237,0,1062,44%,4.2,0:04:58,0,0,0,0%,11116,7367,1900,1577,831,695,318,215,10231,0.64s,51%,3.2,0:03:25
3/22/16,4254,4587,0,14217,1198,2383,923796,1344,5907,1153,0,1198,43%,4.4,0:05:19,0,0,0,0%,11010,7236,2057,1665,837,679,313,229,10101,0.61s,52%,3.1,0:03:21
3/23/16,3838,4144,0,13443,679,2064,793658,1372,4995,1172,0,252,45%,3.6,0:03:50,0,0,0,0%,10406,6896,1835,1478,887,710,315,208,9605,0.63s,50%,3.2,0:03:12
3/24/16,3774,4080,0,12984,1048,2097,850786,1319,4417,1140,0,123,45%,3.3,0:04:02,0,0,0,0%,10023,6499,1918,1518,761,609,282,188,9214,0.61s,51%,3.2,0:03:29
3/25/16,3145,3423,0,12579,1929,1776,739117,1098,4651,930,0,975,47%,4.2,0:05:34,0,0,0,0%,8278,5265,3403,2299,654,531,244,137,7598,0.65s,52%,3.7,0:03:36
3/26/16,2610,2804,0,6818,44,1669,404845,741,2063,653,0,41,54%,2.8,0:03:00,0,0,0,0%,5022,3663,1289,1060,407,352,100,64,4476,0.76s,60%,2.4,0:02:24
3/27/16,2385,2555,0,6508,93,1441,433338,672,1729,579,0,49,56%,2.6,0:02:55,0,0,0,0%,4678,3445,1371,1039,372,309,87,57,4176,0.81s,56%,2.5,0:02:50
3/28/16,4152,4534,0,14383,1106,2233,943566,1420,5859,1188,0,1106,45%,4.1,0:04:58,0,0,0,0%,11136,7358,2021,1615,885,718,341,235,10187,0.66s,49%,3.2,0:03:28
3/29/16,4513,4886,0,14884,1117,2442,983742,1525,6421,1292,0,1117,42%,4.2,0:04:56,0,0,0,0%,11424,7479,2130,1674,1069,844,261,182,10539,0.65s,50%,3,0:03:21
3/30/16,4312,4681,0,14985,1116,2300,964868,1521,6224,1310,0,1116,42%,4.1,0:04:41,0,0,0,0%,11577,7610,2044,1613,963,776,401,246,10546,0.64s,49%,3.2,0:03:26
3/31/16,4169,4501,0,14596,998,2274,937385,1455,5300,1260,0,331,41%,3.6,0:04:34,0,0,0,0%,11487,7387,1943,1540,857,707,309,204,10542,0.62s,51%,3.2,0:03:28
4/1/16,3551,3878,0,12392,1087,1938,754826,1272,5101,1082,0,1087,45%,4,0:04:04,0,0,0,0%,9663,6236,1688,1274,777,640,264,162,8867,0.63s,50%,3.2,0:03:15
4/2/16,2665,2866,0,7091,53,1594,388803,781,1913,677,0,30,56%,2.4,0:02:45,0,0,0,0%,5299,3891,1302,1031,393,349,97,67,4753,0.94s,56%,2.5,0:02:16
4/3/16,2615,2773,0,7164,34,1484,448049,717,1971,642,0,29,51%,2.7,0:03:10,0,0,0,0%,5294,3903,1254,931,510,409,106,86,4666,0.76s,54%,2.6,0:02:42
4/4/16,4128,4465,0,13873,965,2287,912214,1441,6229,1224,0,965,43%,4.3,0:05:09,0,0,0,0%,10653,7009,1970,1540,944,775,306,208,9786,0.64s,51%,3.1,0:03:24
4/5/16,4179,4519,0,14941,1212,2227,947630,1450,6711,1235,0,1212,42%,4.6,0:05:01,0,0,0,0%,11430,7333,2194,1784,953,735,364,221,10589,0.6s,49%,3.3,0:03:30
4/6/16,3879,4215,0,13212,1002,2100,898603,1370,5497,1171,0,1002,45%,4,0:05:05,0,0,0,0%,10289,6831,1781,1364,915,737,227,154,9503,0.63s,50%,3.1,0:03:33
4/7/16,3883,4212,0,13623,1076,2102,905377,1336,5401,1154,0,1076,46%,4,0:04:31,0,0,0,0%,10678,6906,1761,1380,916,739,268,181,9883,0.65s,50%,3.2,0:03:35
4/8/16,3422,3681,0,11157,520,1863,646154,1140,4428,991,0,520,44%,3.9,0:03:41,0,0,0,0%,8731,5760,1540,1208,673,561,213,147,8085,0.63s,51%,3,0:02:56
4/9/16,2360,2554,0,6841,48,1359,438735,674,1983,565,0,48,50%,2.9,0:03:31,0,0,0,0%,5125,3722,1110,854,519,402,87,56,4671,0.79s,53%,2.7,0:02:52
4/10/16,2446,2615,0,7001,58,1425,445612,725,2007,625,0,52,51%,2.8,0:03:08,0,0,0,0%,5198,3763,1201,907,476,382,126,96,4718,0.74s,54%,2.7,0:02:50
4/11/16,4094,4419,0,14696,593,2056,831360,1506,5810,1303,0,255,40%,3.9,0:03:20,0,0,0,0%,10817,7376,2630,1583,948,795,301,212,9949,0.63s,47%,3.3,0:03:08
4/12/16,4017,4324,0,13533,579,2042,813921,1466,5817,1280,0,579,40%,4,0:03:52,0,0,0,0%,10422,7010,1906,1489,958,809,247,176,9575,0.67s,47%,3.1,0:03:08
4/13/16,3737,4011,0,12974,301,1920,770507,1342,5234,1171,0,301,43%,3.9,0:04:09,0,0,0,0%,10167,6688,1697,1331,839,707,271,193,9415,0.63s,48%,3.2,0:03:12
4/14/16,3711,4039,0,13388,634,1940,757351,1387,5693,1177,0,634,43%,4.1,0:03:29,0,0,0,0%,10459,6888,1862,1427,810,691,257,175,9620,0.61s,48%,3.3,0:03:08
4/15/16,3336,3594,0,11380,356,1732,610116,1232,4781,1074,0,356,42%,3.9,0:03:33,0,0,0,0%,8987,6020,1394,1119,759,640,240,165,8246,0.72s,48%,3.2,0:02:50
4/16/16,2357,2537,0,6506,51,1392,413857,683,1735,592,0,36,53%,2.5,0:02:28,0,0,0,0%,4779,3472,1152,889,471,377,104,73,4283,0.89s,55%,2.6,0:02:43
4/17/16,2402,2582,0,6551,47,1415,391608,742,1963,654,0,37,52%,2.6,0:03:07,0,0,0,0%,4749,3538,1165,939,550,450,87,63,4401,0.79s,55%,2.5,0:02:32
4/18/16,3896,4210,0,13976,729,1969,870224,1456,6079,1250,0,729,40%,4.2,0:04:38,0,0,0,0%,10952,7128,1782,1406,954,784,288,189,10142,0.64s,47%,3.3,0:03:27
4/19/16,4146,4446,0,13949,550,2173,864102,1434,5753,1247,0,550,42%,4,0:04:32,0,0,0,0%,10774,7246,2016,1583,879,728,280,183,9949,0.67s,49%,3.1,0:03:14
4/20/16,3619,3916,0,12564,340,1928,780973,1363,5477,1165,0,340,40%,4,0:04:19,0,0,0,0%,9856,6597,1692,1364,782,654,234,171,9175,0.61s,49%,3.2,0:03:19
4/21/16,3686,3992,0,12928,489,1949,804888,1315,5290,1130,0,489,43%,4,0:04:07,0,0,0,0%,9944,6519,1782,1444,910,730,292,184,9146,0.63s,49%,3.2,0:03:22
4/22/16,3928,4284,0,13063,461,2213,820056,1345,5375,1124,0,461,47%,4,0:04:25,0,0,0,0%,10287,6902,1676,1299,836,670,264,176,9475,0.64s,52%,3,0:03:11
4/23/16,2575,2749,0,6456,37,1590,391873,758,1863,651,0,37,55%,2.5,0:03:21,0,0,0,0%,4770,3592,1158,872,417,362,111,75,4369,0.84s,58%,2.3,0:02:23
4/24/16,2771,2947,0,7123,63,1787,433369,761,2102,676,0,63,54%,2.8,0:02:38,0,0,0,0%,5366,3966,1235,982,452,381,70,48,4861,0.86s,61%,2.4,0:02:27
4/25/16,4458,4812,0,14762,658,2530,914453,1521,6019,1315,0,658,44%,4,0:04:05,0,0,0,0%,11492,7882,2041,1610,928,780,301,205,10646,0.63s,53%,3.1,0:03:10
4/26/16,4235,4540,0,14113,967,2405,897444,1448,4649,1256,0,88,48%,3.2,0:03:50,0,0,0,0%,10944,7192,2022,1568,816,686,331,195,10229,0.67s,53%,3.1,0:03:18
4/27/16,4127,4459,0,14326,225,2179,817803,1485,6089,1284,0,225,41%,4.1,0:03:34,0,0,0,0%,11134,7400,1914,1515,955,762,323,225,10389,0.62s,49%,3.2,0:03:03
4/28/16,3903,4225,0,14096,1109,2132,846790,1442,6380,1227,0,1109,41%,4.4,0:04:35,0,0,0,0%,10963,7034,1870,1491,860,705,403,239,10220,0.61s,50%,3.3,0:03:20
4/29/16,3394,3655,0,11863,671,1838,754447,1187,5093,1027,0,671,41%,4.3,0:05:03,0,0,0,0%,8939,5920,1875,1487,704,604,345,184,8311,0.63s,50%,3.2,0:03:26
4/30/16,2239,2403,0,6313,49,1318,381935,668,1807,588,0,28,52%,2.7,0:02:49,0,0,0,0%,4731,3395,1105,879,387,335,90,72,4321,0.85s,55%,2.6,0:02:39
5/1/16,2530,2729,0,6738,58,1581,417256,740,1871,630,0,23,54%,2.5,0:02:51,0,0,0,0%,4802,3668,1332,1012,478,409,126,85,4424,0.85s,58%,2.5,0:02:33
5/2/16,4107,4457,0,14055,901,2199,970983,1494,5992,1279,0,901,41%,4,0:05:03,0,0,0,0%,10855,7233,1885,1506,1037,802,278,198,10133,0.72s,49%,3.2,0:03:38
5/3/16,3744,4023,0,13094,1009,1948,865401,1345,5706,1175,0,1009,40%,4.2,0:04:48,0,0,0,0%,10160,6667,1734,1386,883,726,317,204,9521,0.7s,48%,3.3,0:03:35
5/4/16,3552,3823,0,12487,1018,1863,816622,1269,5520,1091,0,1018,42%,4.3,0:05:03,0,0,0,0%,9731,6406,1694,1333,812,664,250,175,9057,0.68s,49%,3.3,0:03:34
5/5/16,3413,3695,0,11872,968,1878,750968,1208,5319,1041,0,968,44%,4.4,0:05:03,0,0,0,0%,9318,6044,1564,1260,748,619,242,180,8649,0.66s,51%,3.2,0:03:23
5/6/16,3342,3556,0,10299,728,1895,709904,1043,4129,920,0,728,46%,4,0:05:22,0,0,0,0%,7782,5241,1677,1371,641,548,199,134,7223,0.69s,53%,2.9,0:03:20
5/7/16,1985,2132,0,5458,48,1167,347353,561,1516,484,0,48,52%,2.7,0:03:00,0,0,0,0%,4077,2931,974,745,329,275,78,48,3726,0.88s,55%,2.6,0:02:43
5/8/16,1982,2112,0,5544,39,1119,320335,580,1654,515,0,39,51%,2.9,0:02:41,0,0,0,0%,4083,3022,959,744,410,335,92,48,3746,0.85s,53%,2.6,0:02:32
5/9/16,4025,4325,0,14110,1008,2102,896005,1418,6274,1259,0,1008,41%,4.4,0:05:08,0,0,0,0%,10968,7307,1896,1495,975,782,271,200,10168,0.69s,49%,3.3,0:03:27
5/10/16,4766,5110,0,15563,1041,2621,981171,1429,6150,1220,0,1041,43%,4.3,0:05:06,0,0,0,0%,12180,8334,2163,1734,909,749,311,211,11306,0.69s,51%,3,0:03:12
5/11/16,3989,4300,0,13895,1096,2096,894507,1381,4873,1194,0,395,42%,3.5,0:04:31,0,0,0,0%,10894,7207,1812,1422,898,711,291,199,10075,0.67s,49%,3.2,0:03:28
5/12/16,3771,4059,0,13188,1062,2028,883283,1299,4717,1133,0,377,43%,3.6,0:04:55,0,0,0,0%,10267,6691,1784,1423,875,706,262,172,9576,0.71s,50%,3.2,0:03:38
5/13/16,3505,3725,0,11823,746,1900,749288,1154,3954,1017,0,160,43%,3.4,0:04:18,0,0,0,0%,8993,6027,1813,1430,783,651,234,173,8285,0.73s,51%,3.2,0:03:21
5/14/16,2300,2446,0,6236,41,1317,389170,692,1946,617,0,41,52%,2.8,0:02:50,0,0,0,0%,4586,3282,1140,887,444,370,66,48,4208,0.99s,54%,2.5,0:02:39
5/15/16,2549,2685,0,6523,42,1609,396210,664,1801,607,0,42,51%,2.7,0:03:01,0,0,0,0%,4712,3566,1266,956,439,365,106,73,4404,0.83s,60%,2.4,0:02:28
5/16/16,4098,4433,0,14085,969,2244,920740,1458,5874,1260,0,969,42%,4,0:04:35,0,0,0,0%,10895,7263,1929,1513,935,743,326,208,10266,0.99s,51%,3.2,0:03:28
5/17/16,3843,4137,0,13747,1010,2005,950213,1396,6112,1205,0,1010,42%,4.4,0:05:14,0,0,0,0%,10545,7009,2029,1567,869,701,304,202,9833,0.65s,48%,3.3,0:03:50
5/18/16,3688,3980,0,12211,835,1946,814063,1317,5086,1127,0,835,41%,3.9,0:04:51,0,0,0,0%,9397,6435,1800,1435,750,624,264,183,8806,0.64s,49%,3.1,0:03:25
5/19/16,3712,3978,0,12861,1109,2035,827869,1259,5570,1096,0,1109,43%,4.4,0:05:01,0,0,0,0%,9961,6453,1910,1459,734,597,256,165,9172,0.64s,51%,3.2,0:03:28
5/20/16,3561,3848,0,11727,836,1987,769493,1235,4095,1048,0,319,44%,3.3,0:04:10,0,0,0,0%,9118,6076,1639,1313,708,554,262,159,8479,0.67s,52%,3,0:03:20
5/21/16,2441,2645,0,6523,37,1502,393578,730,1914,626,0,37,53%,2.6,0:02:50,0,0,0,0%,4958,3575,1109,878,357,321,99,68,4528,0.86s,57%,2.5,0:02:29
5/22/16,2429,2590,0,6550,70,1430,387757,676,1813,592,0,42,51%,2.7,0:02:54,0,0,0,0%,4752,3439,1237,991,461,391,100,67,4406,0.85s,55%,2.5,0:02:30
5/23/16,4060,4368,0,13648,1149,2138,865634,1425,6052,1234,0,1149,43%,4.2,0:04:27,0,0,0,0%,10393,6941,1990,1558,904,746,361,237,9652,0.65s,49%,3.1,0:03:18
5/24/16,3933,4250,0,13488,925,2088,874819,1386,5674,1195,0,925,42%,4.1,0:04:47,0,0,0,0%,10288,7003,2000,1555,865,691,335,220,9569,0.68s,49%,3.2,0:03:26
5/25/16,3691,3989,0,12875,937,1960,829783,1286,5369,1096,0,937,42%,4.2,0:04:50,0,0,0,0%,9940,6533,1903,1479,784,658,248,161,9270,0.63s,49%,3.2,0:03:28
5/26/16,3634,3899,0,12333,1140,1937,761952,1286,5217,1120,0,1140,40%,4.1,0:04:08,0,0,0,0%,9510,6210,1742,1346,797,652,284,190,8822,0.73s,50%,3.2,0:03:15
5/27/16,3390,3633,0,11225,736,1825,706777,1087,4580,941,0,736,43%,4.2,0:05:03,0,0,0,0%,8614,5670,1637,1281,744,618,230,161,8019,0.7s,50%,3.1,0:03:15
5/28/16,2435,2615,0,6488,50,1518,397856,676,1801,589,0,50,58%,2.7,0:02:51,0,0,0,0%,4709,3358,1283,975,386,326,110,60,4273,0.9s,58%,2.5,0:02:32
5/29/16,2430,2579,0,5906,43,1548,348399,607,1490,536,0,43,55%,2.5,0:02:41,0,0,0,0%,4256,3165,1238,972,344,278,68,50,3940,0.9s,60%,2.3,0:02:15
5/30/16,2913,3123,0,7843,44,1739,488822,837,2233,728,0,35,50%,2.7,0:03:08,0,0,0,0%,5822,4321,1438,1135,485,409,98,61,5253,0.89s,56%,2.5,0:02:37
5/31/16,4217,4571,0,14878,933,2244,977515,1499,6369,1284,0,933,42%,4.2,0:05:02,0,0,0,0%,11250,7368,2333,1899,958,786,337,213,10470,0.69s,49%,3.3,0:03:34
6/1/16,4016,4312,0,14167,865,2030,962618,1479,6513,1298,0,865,40%,4.4,0:05:26,0,0,0,0%,11009,7136,1923,1453,942,772,293,203,10272,0.69s,47%,3.3,0:03:43
6/2/16,4034,4396,0,13692,894,2259,901659,1536,6309,1310,0,894,45%,4.1,0:05:08,0,0,0,0%,10623,6972,1789,1417,995,785,285,200,9952,0.68s,51%,3.1,0:03:25
6/3/16,3630,3937,0,12455,771,1966,826275,1299,5464,1121,0,771,42%,4.2,0:05:14,0,0,0,0%,9650,6296,1781,1368,788,664,236,157,8913,0.7s,50%,3.2,0:03:30
6/4/16,2442,2565,0,6340,94,1515,377059,649,1764,579,0,47,52%,2.7,0:02:45,0,0,0,0%,4647,3376,1211,938,409,332,73,55,4276,0.85s,59%,2.5,0:02:27
6/5/16,2789,2947,0,7297,204,1728,455964,712,2024,638,0,50,51%,2.8,0:03:46,0,0,0,0%,5074,3838,1652,1319,459,396,112,73,4645,0.84s,59%,2.5,0:02:35
6/6/16,3937,4294,0,14069,900,2127,903069,1437,6473,1228,0,900,43%,4.5,0:05:14,0,0,0,0%,10920,6907,1933,1491,908,736,308,217,10175,0.67s,50%,3.3,0:03:30
6/7/16,4037,4329,0,13972,1016,2166,977851,1448,5802,1256,0,1016,42%,4,0:04:45,0,0,0,0%,10763,6992,2047,1618,857,722,305,208,9949,0.65s,50%,3.2,0:03:46
6/8/16,3846,4110,0,13745,1125,2003,895926,1334,6263,1173,0,1125,39%,4.7,0:05:28,0,0,0,0%,10590,6754,1992,1519,858,697,305,187,9921,0.7s,49%,3.3,0:03:38
6/9/16,3996,4333,0,13844,1012,2177,930352,1461,6413,1243,0,1012,43%,4.4,0:05:10,0,0,0,0%,10581,6842,2132,1691,834,679,297,190,9754,0.69s,50%,3.2,0:03:35
6/10/16,3627,3918,0,11853,817,2132,810927,1181,4957,1007,0,817,46%,4.2,0:05:43,0,0,0,0%,8978,5899,2032,1640,629,532,214,147,8364,0.74s,54%,3,0:03:27
6/11/16,2462,2628,0,7038,65,1491,411131,717,2004,621,0,58,50%,2.8,0:03:12,0,0,0,0%,4988,3543,1533,1265,427,345,90,61,4606,0.82s,57%,2.7,0:02:36
6/12/16,2315,2475,0,6155,41,1386,387567,689,1682,598,0,18,52%,2.4,0:02:44,0,0,0,0%,4420,3268,1241,993,383,320,111,77,4007,0.91s,56%,2.5,0:02:37
6/13/16,3803,4152,0,13693,729,1979,939618,1375,6093,1156,0,729,40%,4.4,0:06:14,0,0,0,0%,10662,6858,1936,1558,819,690,276,215,9899,0.68s,48%,3.3,0:03:46
6/14/16,3949,4245,0,14188,808,2059,901119,1347,5164,1166,0,511,44%,3.8,0:04:40,0,0,0,0%,11102,7057,1908,1461,890,703,288,187,10278,0.7s,49%,3.3,0:03:32
6/15/16,3805,4111,0,13780,735,1985,911446,1337,5534,1159,0,735,45%,4.1,0:05:16,0,0,0,0%,10753,7049,1861,1440,924,715,242,161,9874,0.72s,48%,3.4,0:03:42
6/16/16,3585,3897,0,12452,865,1993,835024,1272,5412,1076,0,865,47%,4.3,0:05:10,0,0,0,0%,9718,6258,1610,1253,873,703,251,163,8901,0.74s,51%,3.2,0:03:34
6/17/16,3219,3502,0,10953,693,1813,764516,1163,4584,990,0,693,45%,3.9,0:04:43,0,0,0,0%,8344,5369,1619,1277,741,595,249,198,7742,0.74s,52%,3.1,0:03:38
6/18/16,2167,2293,0,5604,61,1299,357642,589,1542,534,0,61,53%,2.6,0:02:43,0,0,0,0%,4045,2974,1131,874,351,296,77,46,3718,0.92s,57%,2.4,0:02:36
6/19/16,2178,2336,0,5935,135,1308,374029,635,1908,549,0,44,49%,3,0:03:02,0,0,0,0%,4155,3129,1289,1041,404,333,87,62,3864,0.85s,56%,2.5,0:02:40
6/20/16,4006,4328,0,13873,938,2167,937634,1382,6096,1185,0,938,40%,4.4,0:05:13,0,0,0,0%,10382,6869,2319,1938,824,677,348,219,9747,0.7s,50%,3.2,0:03:37
6/21/16,3871,4168,0,13635,947,2120,911697,1393,5658,1192,0,947,43%,4.1,0:04:32,0,0,0,0%,10428,6626,2159,1716,817,674,231,169,9645,0.73s,51%,3.3,0:03:39
6/22/16,3764,4087,0,13214,958,2033,885117,1355,5778,1152,0,958,42%,4.3,0:04:48,0,0,0,0%,10084,6447,2004,1612,897,722,229,171,9366,0.68s,50%,3.2,0:03:37
6/23/16,3691,3991,0,12898,999,2023,892984,1328,5754,1133,0,999,43%,4.3,0:05:22,0,0,0,0%,9841,6195,1874,1499,933,717,250,171,9137,0.68s,51%,3.2,0:03:44
6/24/16,3240,3514,0,11105,850,1830,746689,1162,4831,1000,0,850,46%,4.2,0:04:38,0,0,0,0%,8508,5340,1635,1260,760,531,202,127,7916,0.7s,52%,3.2,0:03:32
6/25/16,2384,2536,0,5930,78,1524,379054,592,1500,518,0,30,56%,2.5,0:03:11,0,0,0,0%,4385,3199,1077,868,404,319,64,48,4088,0.93s,60%,2.3,0:02:29
6/26/16,2369,2527,0,6452,52,1406,404672,663,1866,587,0,52,52%,2.8,0:03:11,0,0,0,0%,4608,3400,1295,1010,445,349,104,78,4239,0.9s,56%,2.6,0:02:40
6/27/16,3831,4150,0,13858,1010,1994,950118,1369,6100,1186,0,1010,41%,4.5,0:05:09,0,0,0,0%,10728,6819,1901,1493,933,760,296,199,10000,0.66s,48%,3.3,0:03:49
6/28/16,3763,4124,0,13107,776,2013,870644,1411,5432,1174,0,776,42%,3.8,0:04:27,0,0,0,0%,10108,6464,1858,1470,894,705,247,165,9397,0.74s,49%,3.2,0:03:31
6/29/16,3753,4052,0,12884,847,2067,826097,1303,5511,1125,0,847,45%,4.2,0:04:34,0,0,0,0%,9888,6377,1839,1482,866,685,291,196,9163,0.67s,51%,3.2,0:03:24
6/30/16,3538,3828,0,12194,810,1927,794713,1234,5302,1061,0,810,44%,4.3,0:05:05,0,0,0,0%,9305,5899,1842,1479,821,660,226,163,8679,0.68s,50%,3.2,0:03:28
7/1/16,3392,3667,0,11444,830,1935,728133,1138,4950,976,0,830,46%,4.3,0:05:12,0,0,0,0%,8909,5702,1687,1331,665,544,183,137,8303,0.72s,53%,3.1,0:03:19
7/2/16,2350,2512,0,5906,64,1505,412895,643,1667,563,0,31,53%,2.6,0:03:15,0,0,0,0%,4108,3083,1320,999,428,340,50,43,3805,0.87s,60%,2.4,0:02:44
7/3/16,2412,2566,0,5888,90,1581,349583,609,1507,538,0,90,57%,2.5,0:02:28,0,0,0,0%,4272,3136,1217,983,340,275,59,41,3896,0.98s,62%,2.3,0:02:16
7/4/16,2548,2708,0,6426,42,1584,407214,695,1792,623,0,42,53%,2.6,0:02:38,0,0,0,0%,4624,3452,1330,1054,363,314,109,79,4259,0.97s,58%,2.4,0:02:30
7/5/16,3872,4189,0,13615,872,2079,884572,1403,6031,1216,0,872,44%,4.3,0:05:07,0,0,0,0%,10612,6783,1790,1422,921,760,292,206,9917,0.7s,50%,3.3,0:03:31
7/6/16,3984,4303,0,14272,928,2144,895911,1395,6274,1202,0,928,41%,4.5,0:05:05,0,0,0,0%,10804,6814,2239,1757,945,747,284,191,10098,0.67s,50%,3.3,0:03:28
7/7/16,3854,4178,0,13852,1075,2096,919348,1365,4544,1180,0,240,43%,3.3,0:04:19,0,0,0,0%,10788,6870,1855,1488,888,691,321,200,10065,0.71s,50%,3.3,0:03:40
7/8/16,3136,3380,0,10889,766,1711,758647,1065,3877,929,0,370,46%,3.6,0:05:10,0,0,0,0%,8372,5320,1601,1284,671,535,245,162,7761,0.75s,51%,3.2,0:03:44
7/9/16,2308,2497,0,6420,65,1392,440168,717,1993,614,0,38,53%,2.8,0:03:21,0,0,0,0%,4799,3475,1136,881,405,342,80,61,4421,1.06s,56%,2.6,0:02:56
7/10/16,2369,2533,0,6544,60,1379,408942,705,1930,615,0,42,54%,2.7,0:02:32,0,0,0,0%,4763,3446,1221,966,462,386,98,71,4445,0.84s,54%,2.6,0:02:41
7/11/16,3897,4218,0,13488,886,2081,928299,1304,5479,1119,0,886,43%,4.2,0:05:25,0,0,0,0%,10402,6930,1905,1502,842,695,339,238,9719,0.67s,49%,3.2,0:03:40
7/12/16,3738,4014,0,12459,696,2046,886888,1264,4582,1102,0,696,44%,3.6,0:04:48,0,0,0,0%,9477,6303,1921,1543,792,663,269,173,8864,0.67s,51%,3.1,0:03:41
7/13/16,3952,4245,0,14614,734,2075,1011016,1265,5216,1095,0,734,44%,4.1,0:05:30,0,0,0,0%,9602,6365,3895,3483,796,666,321,199,8956,0.92s,49%,3.4,0:03:58
